instrument,manufacturer_or_lab,measures,dataset_columns,accuracy,response_time_or_rate,campaigns,source
Maycomm AC19-400 (dual-path tunable diode laser hygrometer),Maycomm Research Company / Maycomm Inc. (R.D. May) [confirmed via web search],Water vapor mixing ratio (long ~130 cm and short ~10 cm optical paths),"Si_MRTDL, qv_mrtdl, MRTDLL_MC_ppmv (short-path MRTDLS_MC present in raw data but unused/NaN)",Not found in repo,1 Hz,ICE-L,"parsers/ice_l.py:21-30; manufacturer confirmed via web search (atmoswiki.und.edu, NASA Airborne Science Program)"
Lyman-alpha hygrometer (unspecified model),Unresolved -- University of North Dakota team; repo notes 'potentially JLH?' but not confirmed,Water vapor mixing ratio,"Si_LH_unspecified, qv_lh_unspecified",Not found in repo,1 Hz (implied),CRYSTAL-FACE-UND,"parsers/crystal_face_und.py:8-9,194,201 (instrument identity explicitly unresolved in repo)"
Frost-point sensor (unspecified model),Unresolved -- University of North Dakota team,Frost-point temperature -> Si,"Si_frost_point, qv_frost_point",Not found in repo,1 Hz (implied),OLYMPEX,"parsers/olympex.py:9,84,626 (instrument identity explicitly unresolved in repo)"
Chilled-mirror hygrometer (ARM cryo unit),Unresolved manufacturer -- ARM raw archive is binary with no text metadata,Dew/frost-point temperature,"Si_chilled_mirror, qv_chilled_mirror","+/-0.3-0.5 C (general instrument literature, cited in a repo decision doc -- NOT traceable to ARM's own raw archive, which has no text metadata channel at all)",1 Hz,ARM,parsers/arm.py:38 (Dew_Point_Cryo_C/Frost_Point_Cryo_C); docs/decisions/2026-07-05-arm-cryo-masking.md:55; docs/reports/2026-07-08-raw-data-uncertainty-metadata-survey.md (ARM row -- literature figure explicitly flagged as not raw-traceable)
DPBC/DPTC dual chilled-mirror dew-point sensors,NCAR Research Aviation Facility,"Dew-point temperature (two collocated units: DPTC fast/limited range, DPBC slow/larger range)","Si_chilled_mirror, qv_chilled_mirror","Not found in raw header (NetCDF carries only a qualitative DataQuality=Good flag and calibration coefficients, not an uncertainty)",5 Hz (SampledRate in NetCDF header),AIRS-II,parsers/airs_ii.py:12-16; data/raw/AIRS-II/variable_descriptions.txt; docs/reports/2026-07-08-raw-data-uncertainty-metadata-survey.md
Chilled-mirror hygrometer (IPHEX -- likely EG&G-style probe),"Unresolved -- raw header lists 'Dewpoint (EG&G Probe)' separately from the Ophir Laser Hygrometer; moderate confidence this is the Si_chilled_mirror source, not independently confirmed",Dew-point temperature,"Si_chilled_mirror, qv_chilled_mirror",Not found in raw header (UND FFI1001-derived format has no dedicated uncertainty field),1 Hz,IPHEX,"data/raw/IPHEX/*.iphex header; parsers/iphex.py:20,27-28; config.yaml:97; docs/reports/2026-07-08-raw-data-uncertainty-metadata-survey.md"
RAF T-Electric chilled-mirror hygrometer,NCAR Research Aviation Facility,Dew-point temperature -> relative humidity (RHUM) -> Si,"Si_chilled_mirror (via RHUM), qv","Not found in raw header (NetCDF DataQuality=Good only, same as AIRS-II)",1 Hz (SampledRate in NetCDF header),ICE-L,parsers/ice_l.py:15; data/raw/ICE-L/nav-state-microphysics/*.nc; docs/reports/2026-07-08-raw-data-uncertainty-metadata-survey.md
Chilled-mirror hygrometer (CRYSTAL-FACE-UND ND_MET),Unresolved -- University of North Dakota team,Dew-point / frost-point temperature,"Si_chilled_mirror, qv_chilled_mirror",Not found in raw header,1 Hz,CRYSTAL-FACE-UND,parsers/crystal_face_und.py:8; data/raw/CRYSTAL-FACE-UND/ND_MET/*.CIT; docs/reports/2026-07-08-raw-data-uncertainty-metadata-survey.md
EdgeTech Chilled Mirror C-137,EdgeTech,Dew-point temperature,"Si_chilled_mirror, qv_chilled_mirror",+/-1 C,Not found in repo,ESCAPE,parsers/escape.py:13; data/raw/ESCAPE/spec-learjet-state/ESCAPE_SPEC_ReadMe_R0_10.2022.pdf; docs/reports/2026-07-08-raw-data-uncertainty-metadata-survey.md
Rosemount temperature probe (ARM),Rosemount Aerospace,Air temperature,Tair_C,"+/-0.3-0.5 C (general instrument literature, NOT traceable to ARM's own raw archive)",1 Hz,ARM,"parsers/arm.py:9,178-181 (Air_Temp_Rosemount_C); docs/decisions/2026-07-05-arm-cryo-masking.md:55"
Rosemount temperature probe (Model 102 & 510BH),Rosemount Aerospace,Air temperature,Tair_C,+/-0.5 C (cites Lawson and Cooper 1990),Not found in repo,ESCAPE,parsers/escape.py:308-337; data/raw/ESCAPE/spec-learjet-state/ESCAPE_SPEC_ReadMe_R0_10.2022.pdf; docs/reports/2026-07-08-raw-data-uncertainty-metadata-survey.md
Applanix POS (positioning system),Applanix (a Trimble company),"Latitude, longitude, altitude","Lat, Lon, Alt_m",Not found in repo,Not found in repo,"MPACE, CRYSTAL-FACE-UND (ND_NAV)","parsers/mpace.py:25,164,382-384; parsers/crystal_face_und.py:112"
Aventech AIMMS-20 (Dual GPS),Aventech Research Inc.,"Latitude, longitude","Lat, Lon",+/-10 m,Not found in repo,ESCAPE,data/raw/ESCAPE/spec-learjet-state/ESCAPE_SPEC_ReadMe_R0_10.2022.pdf; docs/reports/2026-07-08-raw-data-uncertainty-metadata-survey.md
West Star Aviation RVSM altimetry,West Star Aviation,Pressure altitude,Alt_m,+/-60 ft (18.3 m),Not found in repo,ESCAPE,data/raw/ESCAPE/spec-learjet-state/ESCAPE_SPEC_ReadMe_R0_10.2022.pdf; docs/reports/2026-07-08-raw-data-uncertainty-metadata-survey.md
NCAR RAF/Nimbus temperature & pressure sensors (ATX/PSXC),NCAR Research Aviation Facility,"Air temperature (ATX), static pressure (PSXC)","Tair_C, P_hPa",Not found in raw header (NetCDF DataQuality=Good only),1 Hz (per-file SampledRate varies by variable),"AIRS-II, ICE-L",data/raw/AIRS-II/variable_descriptions.txt; data/raw/ICE-L/nav-state-microphysics/*.nc; docs/reports/2026-07-08-raw-data-uncertainty-metadata-survey.md
UND Citation onboard temperature/pressure/dewpoint probe suite,University of North Dakota (PI: Mike Poellot / David Delene),"Air temperature (main/backup pitot), static pressure","Tair_C, P_hPa",Not found in repo -- UND's FFI1001-derived format has no dedicated uncertainty field by design (confirmed via the format's own specification readme),1 Hz,"CRYSTAL-FACE-UND, IPHEX, MC3E, MPACE, OLYMPEX","data/raw/IPHEX/*.iphex, data/raw/MC3E/*.mc3e, data/raw/MPACE/*.mpace, data/raw/OLYMPEX/*.olympex headers; docs/reports/2026-07-08-raw-data-uncertainty-metadata-survey.md section 1.1 (MPACE README.html, UND format spec)"
"UND Citation wing-pitot EDR (TURB field, ASCII pipeline)",University of North Dakota (PI: Mike Poellot / David Delene),Eddy dissipation rate (eps^1/3),"EDR_m23s1 (unified, converted from cm^(2/3)s^-1)",Not found in repo,1 Hz,"IPHEX, MC3E, MPACE, OLYMPEX, CRYSTAL-FACE-UND","docs/decisions/2026-07-13-edr-unification.md:29-30,46-47"
ARM Turbulence_eps (T4 binary field 18),"University of North Dakota team (same house cm-convention, older Citation II binary archive)",Eddy dissipation rate (eps^1/3),"EDR_m23s1 (unified, converted from cm^(2/3)s^-1)",Not found in repo,1 Hz,ARM,data/raw/ARM/poellot-citation-t4-readme.txt; docs/decisions/2026-07-13-edr-unification.md:33-50
STRAPP Convair-580 bulk data system,National Research Council Canada / STRAPP project team (specific sensor manufacturer not resolved in repo),"Air temperature (RSTem), pressure (NPres), relative humidity w.r.t. ice (ReHuI) -> Si","Tair_C, P_hPa, Si (via ReHuI)",Not found for Tair_C/P_hPa/Si in the data file or companion docs (qualitative validation language only -- e.g. checked against airport takeoff/touchdown readings),1 s (Slicing Interval per header),ISDAC,data/raw/ISDAC/strapp-convair_bulk/CommaDelimited/*.txt header; parsers/isdac.py:24; docs/reports/2026-07-08-raw-data-uncertainty-metadata-survey.md
STRAPP Convair-580 position system,National Research Council Canada / STRAPP project team,"Latitude, longitude","Lat, Lon","~8 km typical, worse (up to ~2 km additional error) on specific flight segments (flights 21, 28, 35) per companion readme",1 s,ISDAC,data/raw/ISDAC/strapp-convair_bulk/ISDAC_BulkData_v3_README.rtf; docs/reports/2026-07-08-raw-data-uncertainty-metadata-survey.md section 1.1
LiCor frost/dew-point cross-check unit,"LI-COR Biosciences -- inferred from column-naming convention ('LicFro'/'LicDew'), not independently confirmed via web search","Frost-point / dew-point temperature (used as a cross-check, not the primary Si source)","LicFro/LicDew (not exported to any standardized column -- cross-check only, see parsers/isdac.py)",Not found in repo,Not found in repo,ISDAC,parsers/isdac.py:17; web search did not confirm a LI-COR sensor specifically on the ISDAC Convair-580 deployment
SPEC Inc. Cloud Particle Imager (CPI),Stratton Park Engineering Company (SPEC Inc.),Cloud particle imagery (the L1/L2 join key -- not an environmental/thermodynamic variable itself),cpi_filename (join key only; source of every row in L1/L2),"Not applicable (imaging instrument, no scalar accuracy)",Not found in repo,"All 12 campaigns with CPI imagery (AIRS-II, ARM, ATTREX, CRYSTAL-FACE-NASA, CRYSTAL-FACE-UND, ICE-L, IPHEX, ISDAC, MACPEX, MC3E, MIDCIX, MPACE)","parsers/cpi_timestamps.py; data/raw/cpi_embeddings_timestamps.csv; IPHEX data-user-guide names 'SPEC Inc. CPI' among campaign instruments (docs/reports/2026-07-08-raw-data-uncertainty-metadata-survey.md section 1.1, IPHEX entry)"
